file_path,stem,sub_dir_name,rel_file_path,sub_dir_index,data,match_log_index,group_index,latitude,longitude,altitude,geoid_height,num_satellites,HDOP,mean_curve_freq,mean_curve_amp
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018001000.200.t3w,20231018001000.200,A,A\20231018001000.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D9390FD10>,0,0,37.787740292397665,37.64356145906433,892.8824561403509,26.900000000000002,9.0,1.04,0.35816153387398175,3.3051603656334816
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018001500.200.t3w,20231018001500.200,A,A\20231018001500.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93A2BE30>,0,0,37.787740292397665,37.64356145906433,892.8824561403509,26.900000000000002,9.0,1.04,0.3483605692158403,2.910344092746984
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018002000.200.t3w,20231018002000.200,A,A\20231018002000.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D9076D070>,0,0,37.787740292397665,37.64356145906433,892.8824561403509,26.900000000000002,9.0,1.04,0.3295559005749158,2.6304824325086953
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018002500.200.t3w,20231018002500.200,A,A\20231018002500.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D8FA25100>,0,0,37.787740292397665,37.64356145906433,892.8824561403509,26.900000000000002,9.0,1.04,0.36823824417247053,2.9864285208832686
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018003000.200.t3w,20231018003000.200,A,A\20231018003000.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D908529F0>,0,0,37.787740292397665,37.64356145906433,892.8824561403509,26.900000000000002,9.0,1.04,0.36823824417247053,3.0025270489819937
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018003500.200.t3w,20231018003500.200,A,A\20231018003500.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019DA713F3E0>,0,0,37.787740292397665,37.64356145906433,892.8824561403509,26.900000000000002,9.0,1.04,0.3483605692158403,3.071015697814436
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018170000.200.t3w,20231018170000.200,A,A\20231018170000.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D932FCAD0>,1,1,37.78871036842106,37.64119512280701,902.3421052631579,26.899999999999995,10.0,0.8000000000000002,0.2428732275514274,2.858572256450742
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018170500.200.t3w,20231018170500.200,A,A\20231018170500.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93AF5B20>,1,1,37.78871036842106,37.64119512280701,902.3421052631579,26.899999999999995,10.0,0.8000000000000002,0.3892501518655177,2.532782804789141
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018171000.200.t3w,20231018171000.200,A,A\20231018171000.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93A8DBB0>,1,1,37.78871036842106,37.64119512280701,902.3421052631579,26.899999999999995,10.0,0.8000000000000002,1.1486212127644655,2.967282986153729
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018171500.200.t3w,20231018171500.200,A,A\20231018171500.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93D87E00>,1,1,37.78871036842106,37.64119512280701,902.3421052631579,26.899999999999995,10.0,0.8000000000000002,1.1171895964484122,4.413146346974619
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018172000.200.t3w,20231018172000.200,A,A\20231018172000.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93D86330>,1,1,37.78871036842106,37.64119512280701,902.3421052631579,26.899999999999995,10.0,0.8000000000000002,1.1809371431731135,2.991872625541648
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018174500.200.t3w,20231018174500.200,A,A\20231018174500.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93D87DA0>,2,2,37.78786531960784,37.639079292156865,909.3964705882353,26.900000000000006,12.0,0.6899999999999997,0.4471760543501925,3.110019212031289
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018175000.200.t3w,20231018175000.200,A,A\20231018175000.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93D840E0>,2,2,37.78786531960784,37.639079292156865,909.3964705882353,26.900000000000006,12.0,0.6899999999999997,0.35816153387398175,2.777122825224215
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018175500.200.t3w,20231018175500.200,A,A\20231018175500.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93D847A0>,2,2,37.78786531960784,37.639079292156865,909.3964705882353,26.900000000000006,12.0,0.6899999999999997,0.35816153387398175,2.607569124672258
O:\OneDrive - nagaokaut.ac.jp\01_Research\05_Papers\21_202406_S&F_Golbasi\01_dataset\01_microtremor\202310\A\20231018180000.200.t3w,20231018180000.200,A,A\20231018180000.200.t3w,0,<cv374.t3w.T3WHandler object at 0x0000019D93D849B0>,2,2,37.78786531960784,37.639079292156865,909.3964705882353,26.900000000000006,12.0,0.6899999999999997,0.36823824417247053,2.9100639879389627
